Rank,Feeder,unique_id,MAE (MW),RMSE (MW),MAPE (%),R2,Test windows
1,11KV BHOSALE NAGAR,EP_FD01,0.001181416488656516,0.00845303138603291,0.07509521185802602,0.7056733439416112,2141
2,11KV LUMAX,ML_FD02,0.0018424753672627299,0.013876634916199282,0.09812292718927126,-0.07783606593648473,2141
3,11KV KUBERA,EP_FD02,0.0016504628468005157,0.009647883247739901,0.1043378695494888,0.739749061265541,2141
4,RMU1,ML_FD01,0.0025027626023263897,0.01931541264347144,0.22979799414451535,0.19815968860316435,2141
5,11KV MALWADI HADAPSAR,ML_FD03,0.01593883814617291,0.057734726261914816,0.7560833159645249,0.884343911652033,2141
6,11KV TAMHANI FEEDER,ML_FD04,0.0628736347038767,0.08138339848303115,5.319725574038849,0.8476284111813756,2141
7,11 KV TATA EV,EP_FD03,0.12242566569813172,0.1649089446281015,63.65855690580744,0.29885674300410003,2141
8,RMU2,ML_FD05,0.013838020868647544,0.021656391160951645,178553.7869968182,0.8353068933085689,2141
