Rank,Feeder,Model,MAE (MW),RMSE (MW),MAPE (%),R2,Test windows
1,11KV BHOSALE NAGAR,NHITS_11KV_BHOSALENAGAR,0.073614603125,0.08877344993424036,4.543241794032586,0.10062817120568313,56
2,11KV MALWADI HADAPSAR,NHITS_11KV_MALWADI_HADAPSAR,0.13170325563829785,0.1520893952749647,4.796761052967984,-2.504446343568676,47
3,11KV LUMAX,NHITS_11KV_LUMAX,0.09213567660714282,0.11251739075024134,4.968025049879393,-0.7575169301254683,56
4,11KV KUBERA,NHITS_11KV_KUBERA,0.12920343114035085,0.1554147533280641,8.30549743061826,-3.3937479409302087,57
5,RMU1,NHITS_RMU1,0.17623417925297616,0.21595246402543528,14.815484797420048,-0.9271962224454142,56
