unique_id,ds,forecast_MW
NHITS_RMU1,2026-05-12 02:09:00,0.98888326
NHITS_RMU1,2026-05-12 02:12:00,0.96646464
NHITS_RMU1,2026-05-12 02:15:00,0.8808478
NHITS_RMU1,2026-05-12 02:18:00,0.85981715
NHITS_RMU1,2026-05-12 02:21:00,0.873699
NHITS_RMU1,2026-05-12 02:24:00,0.8516538
NHITS_RMU1,2026-05-12 02:27:00,0.7963318
NHITS_RMU1,2026-05-12 02:30:00,0.76357454
NHITS_RMU1,2026-05-12 02:33:00,0.74311316
NHITS_RMU1,2026-05-12 02:36:00,0.76850796
NHITS_RMU1,2026-05-12 02:39:00,0.8269961
NHITS_RMU1,2026-05-12 02:42:00,0.9228623
NHITS_RMU1,2026-05-12 02:45:00,0.97254705
NHITS_RMU1,2026-05-12 02:48:00,0.9594368
NHITS_RMU1,2026-05-12 02:51:00,0.9097416
NHITS_RMU1,2026-05-12 02:54:00,0.8764058
NHITS_RMU1,2026-05-12 02:57:00,0.85552424
NHITS_RMU1,2026-05-12 03:00:00,0.81982607
NHITS_RMU1,2026-05-12 03:03:00,0.87296754
NHITS_RMU1,2026-05-12 03:06:00,0.9008629
