unique_id,ds,cutoff,yhat,y
NHITS_11KV_LUMAX,2026-05-11 22:21:00,2026-05-11 22:18:00,1.8986909,1.86
NHITS_11KV_LUMAX,2026-05-11 22:24:00,2026-05-11 22:18:00,1.9304407,1.89
NHITS_11KV_LUMAX,2026-05-11 22:27:00,2026-05-11 22:18:00,1.9043471,2.0
NHITS_11KV_LUMAX,2026-05-11 22:30:00,2026-05-11 22:18:00,1.916502,2.03
NHITS_11KV_LUMAX,2026-05-11 22:33:00,2026-05-11 22:18:00,1.9297962,1.92
NHITS_11KV_LUMAX,2026-05-11 22:36:00,2026-05-11 22:18:00,1.8976471,2.03
NHITS_11KV_LUMAX,2026-05-11 22:39:00,2026-05-11 22:18:00,1.9053407,1.98
NHITS_11KV_LUMAX,2026-05-11 22:42:00,2026-05-11 22:18:00,1.8846492,2.01
NHITS_11KV_LUMAX,2026-05-11 22:45:00,2026-05-11 22:18:00,1.9467187,2.07
NHITS_11KV_LUMAX,2026-05-11 22:48:00,2026-05-11 22:18:00,1.907496,2.02
NHITS_11KV_LUMAX,2026-05-11 22:51:00,2026-05-11 22:18:00,1.9265622,1.99
NHITS_11KV_LUMAX,2026-05-11 22:54:00,2026-05-11 22:18:00,1.8808106,2.03
NHITS_11KV_LUMAX,2026-05-11 22:57:00,2026-05-11 22:18:00,1.9131742,2.06
NHITS_11KV_LUMAX,2026-05-11 23:00:00,2026-05-11 22:18:00,1.8893205,1.94
NHITS_11KV_LUMAX,2026-05-11 23:03:00,2026-05-11 22:18:00,1.9232291,1.95
NHITS_11KV_LUMAX,2026-05-11 23:06:00,2026-05-11 22:18:00,1.9154141,2.04
NHITS_11KV_LUMAX,2026-05-11 23:09:00,2026-05-11 22:18:00,1.9328413,1.95
NHITS_11KV_LUMAX,2026-05-11 23:12:00,2026-05-11 22:18:00,1.9303234,1.98
NHITS_11KV_LUMAX,2026-05-11 23:15:00,2026-05-11 22:18:00,1.892865,1.9
NHITS_11KV_LUMAX,2026-05-11 23:18:00,2026-05-11 22:18:00,1.9204777,1.85
NHITS_11KV_LUMAX,2026-05-11 22:24:00,2026-05-11 22:21:00,1.8774694,1.89
NHITS_11KV_LUMAX,2026-05-11 22:27:00,2026-05-11 22:21:00,1.8924056,2.0
NHITS_11KV_LUMAX,2026-05-11 22:30:00,2026-05-11 22:21:00,1.9069221,2.03
NHITS_11KV_LUMAX,2026-05-11 22:33:00,2026-05-11 22:21:00,1.8823441,1.92
NHITS_11KV_LUMAX,2026-05-11 22:36:00,2026-05-11 22:21:00,1.916393,2.03
NHITS_11KV_LUMAX,2026-05-11 22:39:00,2026-05-11 22:21:00,1.8511056,1.98
NHITS_11KV_LUMAX,2026-05-11 22:42:00,2026-05-11 22:21:00,1.8731203,2.01
NHITS_11KV_LUMAX,2026-05-11 22:45:00,2026-05-11 22:21:00,1.8640447,2.07
NHITS_11KV_LUMAX,2026-05-11 22:48:00,2026-05-11 22:21:00,1.9118747,2.02
NHITS_11KV_LUMAX,2026-05-11 22:51:00,2026-05-11 22:21:00,1.9006462,1.99
NHITS_11KV_LUMAX,2026-05-11 22:54:00,2026-05-11 22:21:00,1.8968947,2.03
NHITS_11KV_LUMAX,2026-05-11 22:57:00,2026-05-11 22:21:00,1.8780117,2.06
NHITS_11KV_LUMAX,2026-05-11 23:00:00,2026-05-11 22:21:00,1.8627908,1.94
NHITS_11KV_LUMAX,2026-05-11 23:03:00,2026-05-11 22:21:00,1.8666387,1.95
NHITS_11KV_LUMAX,2026-05-11 23:06:00,2026-05-11 22:21:00,1.8934408,2.04
NHITS_11KV_LUMAX,2026-05-11 23:09:00,2026-05-11 22:21:00,1.9158357,1.95
NHITS_11KV_LUMAX,2026-05-11 23:12:00,2026-05-11 22:21:00,1.9287171,1.98
NHITS_11KV_LUMAX,2026-05-11 23:15:00,2026-05-11 22:21:00,1.9308174,1.9
NHITS_11KV_LUMAX,2026-05-11 23:18:00,2026-05-11 22:21:00,1.9026477,1.85
NHITS_11KV_LUMAX,2026-05-11 23:21:00,2026-05-11 22:21:00,1.8816042,1.84
NHITS_11KV_LUMAX,2026-05-11 22:27:00,2026-05-11 22:24:00,1.9253457,2.0
NHITS_11KV_LUMAX,2026-05-11 22:30:00,2026-05-11 22:24:00,1.9523299,2.03
NHITS_11KV_LUMAX,2026-05-11 22:33:00,2026-05-11 22:24:00,1.9501758,1.92
NHITS_11KV_LUMAX,2026-05-11 22:36:00,2026-05-11 22:24:00,1.9247074,2.03
NHITS_11KV_LUMAX,2026-05-11 22:39:00,2026-05-11 22:24:00,1.9286313,1.98
NHITS_11KV_LUMAX,2026-05-11 22:42:00,2026-05-11 22:24:00,1.8638562,2.01
NHITS_11KV_LUMAX,2026-05-11 22:45:00,2026-05-11 22:24:00,1.8854753,2.07
NHITS_11KV_LUMAX,2026-05-11 22:48:00,2026-05-11 22:24:00,1.8842831,2.02
NHITS_11KV_LUMAX,2026-05-11 22:51:00,2026-05-11 22:24:00,1.958055,1.99
NHITS_11KV_LUMAX,2026-05-11 22:54:00,2026-05-11 22:24:00,1.9486072,2.03
NHITS_11KV_LUMAX,2026-05-11 22:57:00,2026-05-11 22:24:00,1.963378,2.06
NHITS_11KV_LUMAX,2026-05-11 23:00:00,2026-05-11 22:24:00,1.9175755,1.94
NHITS_11KV_LUMAX,2026-05-11 23:03:00,2026-05-11 22:24:00,1.9142745,1.95
NHITS_11KV_LUMAX,2026-05-11 23:06:00,2026-05-11 22:24:00,1.899392,2.04
NHITS_11KV_LUMAX,2026-05-11 23:09:00,2026-05-11 22:24:00,1.9389083,1.95
NHITS_11KV_LUMAX,2026-05-11 23:12:00,2026-05-11 22:24:00,1.9455281,1.98
NHITS_11KV_LUMAX,2026-05-11 23:15:00,2026-05-11 22:24:00,1.9545147,1.9
NHITS_11KV_LUMAX,2026-05-11 23:18:00,2026-05-11 22:24:00,1.9494421,1.85
NHITS_11KV_LUMAX,2026-05-11 23:21:00,2026-05-11 22:24:00,1.9122714,1.84
NHITS_11KV_LUMAX,2026-05-11 23:24:00,2026-05-11 22:24:00,1.9004084,1.84
NHITS_11KV_LUMAX,2026-05-11 22:30:00,2026-05-11 22:27:00,2.0065298,2.03
NHITS_11KV_LUMAX,2026-05-11 22:33:00,2026-05-11 22:27:00,1.9696963,1.92
NHITS_11KV_LUMAX,2026-05-11 22:36:00,2026-05-11 22:27:00,1.9858793,2.03
NHITS_11KV_LUMAX,2026-05-11 22:39:00,2026-05-11 22:27:00,1.9294082,1.98
NHITS_11KV_LUMAX,2026-05-11 22:42:00,2026-05-11 22:27:00,1.9524766,2.01
NHITS_11KV_LUMAX,2026-05-11 22:45:00,2026-05-11 22:27:00,1.8833333,2.07
NHITS_11KV_LUMAX,2026-05-11 22:48:00,2026-05-11 22:27:00,1.9102567,2.02
NHITS_11KV_LUMAX,2026-05-11 22:51:00,2026-05-11 22:27:00,1.9163226,1.99
NHITS_11KV_LUMAX,2026-05-11 22:54:00,2026-05-11 22:27:00,1.9850101,2.03
NHITS_11KV_LUMAX,2026-05-11 22:57:00,2026-05-11 22:27:00,1.965373,2.06
NHITS_11KV_LUMAX,2026-05-11 23:00:00,2026-05-11 22:27:00,1.9790832,1.94
NHITS_11KV_LUMAX,2026-05-11 23:03:00,2026-05-11 22:27:00,1.9473861,1.95
NHITS_11KV_LUMAX,2026-05-11 23:06:00,2026-05-11 22:27:00,1.9315875,2.04
NHITS_11KV_LUMAX,2026-05-11 23:09:00,2026-05-11 22:27:00,1.915686,1.95
NHITS_11KV_LUMAX,2026-05-11 23:12:00,2026-05-11 22:27:00,1.9600197,1.98
NHITS_11KV_LUMAX,2026-05-11 23:15:00,2026-05-11 22:27:00,1.9615693,1.9
NHITS_11KV_LUMAX,2026-05-11 23:18:00,2026-05-11 22:27:00,2.0113134,1.85
NHITS_11KV_LUMAX,2026-05-11 23:21:00,2026-05-11 22:27:00,1.9845917,1.84
NHITS_11KV_LUMAX,2026-05-11 23:24:00,2026-05-11 22:27:00,1.9599051,1.84
NHITS_11KV_LUMAX,2026-05-11 23:27:00,2026-05-11 22:27:00,1.9302585,1.86
NHITS_11KV_LUMAX,2026-05-11 22:33:00,2026-05-11 22:30:00,1.9737396,1.92
NHITS_11KV_LUMAX,2026-05-11 22:36:00,2026-05-11 22:30:00,1.9536546,2.03
NHITS_11KV_LUMAX,2026-05-11 22:39:00,2026-05-11 22:30:00,1.9455878,1.98
NHITS_11KV_LUMAX,2026-05-11 22:42:00,2026-05-11 22:30:00,1.892684,2.01
NHITS_11KV_LUMAX,2026-05-11 22:45:00,2026-05-11 22:30:00,1.9297293,2.07
NHITS_11KV_LUMAX,2026-05-11 22:48:00,2026-05-11 22:30:00,1.8622488,2.02
NHITS_11KV_LUMAX,2026-05-11 22:51:00,2026-05-11 22:30:00,1.9159673,1.99
NHITS_11KV_LUMAX,2026-05-11 22:54:00,2026-05-11 22:30:00,1.8881955,2.03
NHITS_11KV_LUMAX,2026-05-11 22:57:00,2026-05-11 22:30:00,1.9824668,2.06
NHITS_11KV_LUMAX,2026-05-11 23:00:00,2026-05-11 22:30:00,1.9371499,1.94
