unique_id,ds,y,IR_A,IY_A,IB_A,VRY_kV,VYB_kV,VBR_kV,avg_current,current_imbalance_pct,avg_voltage,voltage_imbalance_pct,tod_sin,tod_cos,hour,minute,day_of_week,is_weekend
ML_FD05,2026-06-15 00:00:00,0.1074,5.57,5.0,5.84,11.078,11.16,11.149,5.47,8.592321755027417,11.129,0.4582621978614445,0.0,1.0,0.0,0.0,0.0,0.0
ML_FD05,2026-06-15 00:03:00,0.1029,5.54,5.17,5.89,11.141,11.098,11.115,5.533333333333334,6.566265060240977,11.118,0.20687173952149385,0.01308959557134444,0.999914327574007,0.0,3.0,0.0,0.0
ML_FD05,2026-06-15 00:06:00,0.1016,5.3,4.77,5.74,11.09,11.137,10.974,5.2700000000000005,9.487666034155612,11.067,0.8403361344537812,0.02617694830787315,0.9996573249755573,0.0,6.0,0.0,0.0
ML_FD05,2026-06-15 00:09:00,0.1101,5.35,5.08,6.02,11.135,11.033,11.017,5.483333333333333,9.787234042553182,11.061666666666667,0.6629501280699023,0.03925981575906861,0.9992290362407229,0.0,9.0,0.0,0.0
ML_FD05,2026-06-15 00:12:00,0.11,5.44,5.32,6.23,11.145,11.113,11.012,5.663333333333334,10.005885815185398,11.089999999999998,0.7033363390441627,0.05233595624294383,0.9986295347545738,0.0,12.0,0.0,0.0
ML_FD05,2026-06-15 00:15:00,0.1106,5.86,5.41,6.29,11.011,11.099,10.972,5.853333333333333,7.574031890660578,11.027333333333333,0.6499002478689367,0.06540312923014306,0.9978589232386035,0.0,15.0,0.0,0.0
ML_FD05,2026-06-15 00:18:00,0.1144,5.87,5.22,6.25,11.013,11.059,11.035,5.78,9.6885813148789,11.035666666666666,0.21143564805026216,0.07845909572784494,0.996917333733128,0.0,18.0,0.0,0.0
ML_FD05,2026-06-15 00:21:00,0.1125,5.625,4.949999999999999,5.859999999999999,11.014,11.074,10.978,5.478333333333333,9.644052327350169,11.022,0.4717837053166358,0.09150161866340237,0.9958049275746618,0.0,21.0,0.0,0.0
ML_FD05,2026-06-15 00:24:00,0.1003,5.38,4.68,5.47,11.09,11.116,11.033,5.176666666666666,9.59433354797166,11.079666666666666,0.42119197328439656,0.10452846326765346,0.9945218953682733,0.0,24.0,0.0,0.0
ML_FD05,2026-06-15 00:27:00,0.0977,5.35,4.73,5.49,11.068,11.067,10.984,5.19,8.86319845857418,11.039666666666667,0.5042422778465582,0.11753739745783764,0.9930684569549263,0.0,27.0,0.0,0.0
ML_FD05,2026-06-15 00:30:00,0.1032,5.45,4.71,5.66,11.045,11.091,10.99,5.273333333333333,10.682680151706702,11.042,0.47092917949646446,0.13052619222005157,0.9914448613738104,0.0,30.0,0.0,0.0
ML_FD05,2026-06-15 00:33:00,0.1023,5.54,4.96,5.65,11.101,11.082,10.933,5.383333333333333,7.863777089783274,11.038666666666666,0.9572412127068438,0.14349262199117932,0.9896513868196702,0.0,33.0,0.0,0.0
ML_FD05,2026-06-15 00:36:00,0.0897,4.79,4.3,5.13,11.099,11.093,11.049,4.739999999999999,9.28270042194092,11.080333333333334,0.2827833097680664,0.15643446504023087,0.9876883405951378,0.0,36.0,0.0,0.0
ML_FD05,2026-06-15 00:39:00,0.0963,4.99,4.36,5.56,11.106,11.107,11.089,4.97,12.273641851106628,11.100666666666667,0.10509879286529379,0.1693495038490246,0.9855560590580777,0.0,39.0,0.0,0.0
