unique_id,ds,y,ir,iy,ib,vry,vyb,vbr,avg_current,current_imbalance_pct,avg_voltage,voltage_imbalance_pct,tod_sin,tod_cos,hour,minute,day_of_week,is_weekend
EP_FD02,2026-05-28 16:18:00,1.37,79.3,69.4,74.7,10.9,10.9,10.9,74.46666666666665,6.803939122649933,10.9,0.0,-0.9025852843498606,-0.43051109680829514,16.0,18.0,3.0,0.0
EP_FD02,2026-05-28 16:21:00,1.26,70.4,62.7,63.5,11.0,11.0,11.0,65.53333333333335,7.426246185147496,11.0,0.0,-0.9081431738250814,-0.418659737537428,16.0,21.0,3.0,0.0
EP_FD02,2026-05-28 16:24:00,1.28,67.4,62.9,78.0,10.9,10.9,10.9,69.43333333333334,12.33797407585213,10.9,0.0,-0.9135454576426005,-0.4067366430758009,16.0,24.0,3.0,0.0
EP_FD02,2026-05-28 16:27:00,1.35,69.7,64.0,84.6,10.7,11.0,11.1,72.76666666666667,16.262024736601,10.933333333333332,2.134146341463407,-0.9187912101488984,-0.39474385638426707,16.0,27.0,3.0,0.0
EP_FD02,2026-05-28 16:30:00,1.36,72.2,64.9,78.4,10.9,11.2,10.9,71.83333333333334,9.651972157772626,11.0,1.8181818181818117,-0.9238795325112865,-0.38268343236509034,16.0,30.0,3.0,0.0
EP_FD02,2026-05-28 16:33:00,1.4,86.4,65.6,73.9,11.1,10.8,11.0,75.3,14.741035856573717,10.966666666666667,1.5197568389057696,-0.928809552871924,-0.3705574375098367,16.0,33.0,3.0,0.0
EP_FD02,2026-05-28 16:36:00,1.42,74.8,67.8,75.1,11.2,11.0,11.1,72.56666666666666,6.568672485071198,11.1,0.9009009009008977,-0.9335804264972019,-0.3583679495452999,16.0,36.0,3.0,0.0
EP_FD02,2026-05-28 16:39:00,1.33,70.1,70.0,62.8,10.9,10.9,11.0,67.63333333333333,7.146377525874809,10.933333333333332,0.6097560975609898,-0.938191335922484,-0.34611705707749335,16.0,39.0,3.0,0.0
EP_FD02,2026-05-28 16:42:00,1.34,74.9,69.4,77.8,10.9,11.1,10.9,74.03333333333335,6.2584421431787565,10.966666666666667,1.2158054711246158,-0.9426414910921783,-0.33380685923377124,16.0,42.0,3.0,0.0
EP_FD02,2026-05-28 16:45:00,1.32,76.7,66.6,58.3,11.0,11.2,10.8,67.2,14.136904761904761,11.0,1.8181818181818117,-0.9469301294951056,-0.3214394653031618,16.0,45.0,3.0,0.0
